,Title,Link,Year,Genre,Original Language,Duration,Director,IMDB Rating,Votes,Description,Critics Review,Primary Genre,Year Range
81,The Guilty,https://www.rottentomatoes.com//m/the_guilty_2018,2018,"Crime, Drama, Mystery & thriller",Danish,1h 25m,Gustav M??ller,7.5,54896,"Alarm dispatcher and former police officer Asger Holm answers an emergency call from a kidnapped woman. When the call is suddenly disconnected, the search for the woman and her kidnapper begins.","Sleek, well-acted, and intelligently crafted, The Guilty is a high-concept thriller that wrings maximum impact out of a handful of basic - and effective - ingredients.",Crime,2011-2020
82,10 Cloverfield Lane,https://www.rottentomatoes.com//m/10_cloverfield_lane,2016,Mystery & thriller,English,1h 43m,Dan Trachtenberg,7.2,309194,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Smart, solidly crafted, and palpably tense, 10 Cloverfield Lane makes the most of its confined setting and outstanding cast -- and suggests a new frontier for franchise filmmaking.",Mystery & thriller,2011-2020
83,The Vast of Night,https://www.rottentomatoes.com//m/the_vast_of_night,2020,"Mystery & thriller, Fantasy",English,1h 30m,Andrew Patterson,6.7,35978,"In the 1950s, two kids search for the source of a mysterious frequency that has descended on their town.","An engrossing sci-fi thriller that transcends its period trappings, The Vast of Night suggests great things for debuting director Andrew Patterson.",Mystery & thriller,2011-2020
84,Peeping Tom,https://www.rottentomatoes.com//m/peeping_tom_1960,1960,"Horror, Mystery & thriller",English,1h 49m,Michael Powell,7.7,33913,"Loner Mark Lewis (Carl Boehm) works at a film studio during the day and, at night, takes racy photographs of women. Also he's making a documentary on fear, which involves recording the reactions of victims as he murders them. He befriends Helen (Anna Massey), the daughter of the family living in the apartment below his, and he tells her vaguely about the movie he is making. She sneaks into Mark's apartment to watch it and is horrified by what she sees -- especially when Mark catches her.","Peeping Tom is a chilling, methodical look at the psychology of a killer, and a classic work of voyeuristic cinema.",Horror,1951-1960
85,Blood Simple,https://www.rottentomatoes.com//m/blood_simple,1984,"Mystery & thriller, Crime, Drama",English,1h 37m,Joel Coen,7.6,93140,"""Blood Simple"" was the first feature film from Joel and Ethan Coen. This is the newly restored and re-edited director??s cut of the film, introduced by Mortimer Young. The stylish crime thriller premiered at film festivals in 1984. ""lood Simple"" begins deep in the heart of Texas, where a jealous saloon owner hires a cheap divorce detective to kill the saloon owner??s younger wife and her bartender lover. But the detective gets a better idea: he follows the two lovers, and....","Brutally violent and shockingly funny in equal measure, Blood Simple offers early evidence of the Coen Brothers' twisted sensibilities and filmmaking ingenuity.",Mystery & thriller,1981-1990
86,Bridge of Spies,https://www.rottentomatoes.com//m/bridge_of_spies,2015,"Drama, History, Mystery & thriller",English,2h 21m,Steven Spielberg,7.6,301499,"During the Cold War, the Soviet Union captures U.S. pilot Francis Gary Powers after shooting down his U-2 spy plane. Sentenced to 10 years in prison, Powers' only hope is New York lawyer James Donovan (Tom Hanks), recruited by a CIA operative to negotiate his release. Donovan boards a plane to Berlin, hoping to win the young man's freedom through a prisoner exchange. If all goes well, the Russians would get Rudolf Abel (Mark Rylance), the convicted spy who Donovan defended in court.","Bridge of Spies finds new life in Hollywood's classic Cold War espionage thriller formula, thanks to reliably outstanding work from Steven Spielberg and Tom Hanks.",Drama,2011-2020
87,Notorious,https://www.rottentomatoes.com//m/1015287-notorious,1946,Mystery & thriller,English,1h 43m,Alfred Hitchcock,8,98205,"In order to help bring Nazis to justice, U.S. government agent T.R. Devlin (Cary Grant) recruits Alicia Huberman (Ingrid Bergman), the American daughter of a convicted German war criminal, as a spy. As they begin to fall for one another, Alicia is instructed to win the affections of Alexander Sebastian (Claude Rains), a Nazi hiding out in Brazil. When Sebastian becomes serious about his relationship with Alicia, the stakes get higher, and Devlin must watch her slip further undercover.","Sublime direction from Hitchcock, and terrific central performances from Ingrid Bergman and Cary Grant make this a bona-fide classic worthy of a re-visit.",Mystery & thriller,Before 1950s
88,Gone Girl,https://www.rottentomatoes.com//m/gone_girl,2014,"Crime, Drama, Mystery & thriller",English,2h 29m,David Fincher,8.1,922855,"In Carthage, Mo., former New York-based writer Nick Dunne (Ben Affleck) and his glamorous wife Amy (Rosamund Pike) present a portrait of a blissful marriage to the public. However, when Amy goes missing on the couple's fifth wedding anniversary, Nick becomes the prime suspect in her disappearance. The resulting police pressure and media frenzy cause the Dunnes' image of a happy union to crumble, leading to tantalizing questions about who Nick and Amy truly are.","Dark, intelligent, and stylish to a fault, Gone Girl plays to director David Fincher's sick strengths while bringing the best out of stars Ben Affleck and Rosamund Pike.",Crime,2011-2020
89,The Fugitive,https://www.rottentomatoes.com//m/1046129-fugitive,1993,"Crime, Drama, Mystery & thriller, Action",English,2h 7m,Andrew Davis,7.8,282116,"Wrongfully accused of murdering his wife, Richard Kimble (Harrison Ford) escapes from the law in an attempt to find her killer and clear his name. Pursuing him is a team of U.S. marshals led by Deputy Samuel Gerard (Tommy Lee Jones), a determined detective who will not rest until Richard is captured. As Richard leads the team through a series of intricate chases, he discovers the secrets behind his wife's death and struggles to expose the killer before it is too late.","Exhilarating and intense, this high-impact chase thriller is a model of taut and efficient formula filmmaking, and it features Harrison Ford at his frantic best.",Crime,1991-2000
90,The Conversation,https://www.rottentomatoes.com//m/the_conversation,1974,Mystery & thriller,English,1h 53m,Francis Ford Coppola,7.8,107110,"Surveillance expert Harry Caul (Gene Hackman) is hired by a mysterious client's brusque aide (Harrison Ford) to tail a young couple, Mark (Frederic Forrest) and Ann (Cindy Williams). Tracking the pair through San Francisco's Union Square, Caul and his associate Stan (John Cazale) manage to record a cryptic conversation between them. Tormented by memories of a previous case that ended badly, Caul becomes obsessed with the resulting tape, trying to determine if the couple are in danger.","This tense, paranoid thriller presents Francis Ford Coppola at his finest -- and makes some remarkably advanced arguments about technology's role in society that still resonate today.",Mystery & thriller,1971-1980
