,Title,Link,Year,Genre,Original Language,Duration,Director,IMDB Rating,Votes,Description,Critics Review,Primary Genre,Year Range
0,Citizen Kane,https://www.rottentomatoes.com//m/citizen_kane,1941,Drama,English,1h 59m,Orson Welles,8.3,426496,"When a reporter is assigned to decipher newspaper magnate Charles Foster Kane's (Orson Welles) dying words, his investigation gradually reveals the fascinating portrait of a complex man who rose from obscurity to staggering heights. Though Kane's friend and colleague Jedediah Leland (Joseph Cotten), and his mistress, Susan Alexander (Dorothy Comingore), shed fragments of light on Kane's life, the reporter fears he may never penetrate the mystery of the elusive man's final word, ""Rosebud.""","Orson Welles's epic tale of a publishing tycoon's rise and fall is entertaining, poignant, and inventive in its storytelling, earning its reputation as a landmark achievement in film.",Drama,Before 1950s
1,Knives Out,https://www.rottentomatoes.com//m/knives_out,2019,"Crime, Comedy, Drama, Mystery & thriller",English,2h 10m,Rian Johnson,7.9,556775,"The circumstances surrounding the death of crime novelist Harlan Thrombey are mysterious, but there's one thing that renowned Detective Benoit Blanc knows for sure -- everyone in the wildly dysfunctional Thrombey family is a suspect. Now, Blanc must sift through a web of lies and red herrings to uncover the truth.",Knives Out sharpens old murder-mystery tropes with a keenly assembled suspense outing that makes brilliant use of writer-director Rian Johnson's stellar ensemble.,Crime,2011-2020
2,Us,https://www.rottentomatoes.com//m/us_2019,2019,"Horror, Mystery & thriller",English,1h 56m,Jordan Peele,6.8,263549,"Accompanied by her husband, son and daughter, Adelaide Wilson returns to the beachfront home where she grew up as a child. Haunted by a traumatic experience from the past, Adelaide grows increasingly concerned that something bad is going to happen. Her worst fears soon become a reality when four masked strangers descend upon the house, forcing the Wilsons into a fight for survival. When the masks come off, the family is horrified to learn that each attacker takes the appearance of one of them.","With Jordan Peele's second inventive, ambitious horror film, we have seen how to beat the sophomore jinx, and it is Us.",Horror,2011-2020
3,Mission: Impossible - Fallout,https://www.rottentomatoes.com//m/mission_impossible_fallout,2018,"Action, Mystery & thriller, Adventure",English,2h 27m,Christopher McQuarrie,7.7,312036,"Ethan Hunt and the IMF team join forces with CIA assassin August Walker to prevent a disaster of epic proportions. Arms dealer John Lark and a group of terrorists known as the Apostles plan to use three plutonium cores for a simultaneous nuclear attack on the Vatican, Jerusalem and Mecca, Saudi Arabia. When the weapons go missing, Ethan and his crew find themselves in a desperate race against time to prevent them from falling into the wrong hands.","Fast, sleek, and fun, Mission: Impossible - Fallout lives up to the ""impossible"" part of its name by setting yet another high mark for insane set pieces in a franchise full of them.",Action,2011-2020
4,Get Out,https://www.rottentomatoes.com//m/get_out,2017,"Horror, Comedy, Mystery & thriller",English,1h 44m,Jordan Peele,7.7,541085,"Now that Chris and his girlfriend, Rose, have reached the meet-the-parents milestone of dating, she invites him for a weekend getaway with Missy and Dean. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries leads him to a truth that he never could have imagined.","Funny, scary, and thought-provoking, Get Out seamlessly weaves its trenchant social critiques into a brilliantly effective and entertaining horror/comedy thrill ride.",Horror,2011-2020
5,The Irishman,https://www.rottentomatoes.com//m/the_irishman,2019,"Crime, Drama",English,3h 29m,Martin Scorsese,7.8,358335,"In the 1950s, truck driver Frank Sheeran gets involved with Russell Bufalino and his Pennsylvania crime family. As Sheeran climbs the ranks to become a top hit man, he also goes to work for Jimmy Hoffa -- a powerful Teamster tied to organized crime.","An epic gangster drama that earns its extended runtime, The Irishman finds Martin Scorsese revisiting familiar themes to poignant, funny, and profound effect.",Crime,2011-2020
6,The Cabinet of Dr. Caligari,https://www.rottentomatoes.com//m/the_cabinet_of_dr_caligari,1920,"Fantasy, Mystery & thriller, Horror",German,1h 9m,Robert Wiene,8.1,61229,"At a carnival in Germany, Francis (Friedrich Feher) and his friend Alan (Rudolf Lettinger) encounter the crazed Dr. Caligari (Werner Krauss). The men see Caligari showing off his somnambulist, Cesare (Conrad Veidt), a hypnotized man who the doctor claims can see into the future. Shockingly, Cesare then predicts Alan's death, and by morning his chilling prophecy has come true -- making Cesare the prime suspect. However, is Cesare guilty, or is the doctor controlling him?","Arguably the first true horror film, The Cabinet of Dr. Caligari set a brilliantly high bar for the genre -- and remains terrifying nearly a century after it first stalked the screen.",Fantasy,Before 1950s
7,A Quiet Place,https://www.rottentomatoes.com//m/a_quiet_place_2018,2018,"Horror, Mystery & thriller",English,1h 30m,John Krasinski,7.5,489668,"If they hear you, they hunt you. A family must live in silence to avoid mysterious creatures that hunt by sound. Knowing that even the slightest whisper or footstep can bring death, Evelyn and Lee are determined to find a way to protect their children while desperately searching for a way to fight back.",A Quiet Place artfully plays on elemental fears with a ruthlessly intelligent creature feature that's as original as it is scary -- and establishes director John Krasinski as a rising talent.,Horror,2011-2020
8,Rebecca,https://www.rottentomatoes.com//m/1017293-rebecca,1940,Mystery & thriller,English,2h 10m,Alfred Hitchcock,8.1,132430,"Story of a young woman who marries a fascinating widower only to find out that she must live in the shadow of his former wife, Rebecca, who died mysteriously several years earlier. The young wife must come to grips with the terrible secret of her handsome, cold husband, Max De Winter (Laurence Olivier). She must also deal with the jealous, obsessed Mrs. Danvers (Judith Anderson), the housekeeper, who will not accept her as the mistress of the house.","Hitchcock's first American film (and his only Best Picture winner), Rebecca is a masterpiece of haunting atmosphere, Gothic thrills, and gripping suspense.",Mystery & thriller,Before 1950s
9,Spotlight,https://www.rottentomatoes.com//m/spotlight_2015,2015,Drama,English,2h 8m,Tom McCarthy,8.1,448129,"In 2001, editor Marty Baron of The Boston Globe assigns a team of journalists to investigate allegations against John Geoghan, an unfrocked priest accused of molesting more than 80 boys. Led by editor Walter ""Robby"" Robinson (Michael Keaton), reporters Michael Rezendes (Mark Ruffalo), Matt Carroll and Sacha Pfeiffer interview victims and try to unseal sensitive documents. The reporters make it their mission to provide proof of a cover-up of sexual abuse within the Roman Catholic Church.","Spotlight gracefully handles the lurid details of its fact-based story while resisting the temptation to lionize its heroes, resulting in a drama that honors the audience as well as its real-life subjects.",Drama,2011-2020
10,The Third Man,https://www.rottentomatoes.com//m/the_third_man,1949,Mystery & thriller,English,1h 44m,Carol Reed,8.1,166747,"Set in postwar Vienna, Austria, ""The Third Man"" stars Joseph Cotten as Holly Martins, a writer of pulp Westerns, who arrives penniless as a guest of his childhood chum Harry Lime (Orson Welles), only to find him dead. Martins develops a conspiracy theory after learning of a ""third man"" present at the time of Harry??s death, running into interference from British officer Maj. Calloway (Trevor Howard) and falling head-over-heels for Harry??s grief-stricken lover, Anna (Alida Valli).","This atmospheric thriller is one of the undisputed masterpieces of cinema, and boasts iconic performances from Joseph Cotten and Orson Welles.",Mystery & thriller,Before 1950s
11,Rear Window,https://www.rottentomatoes.com//m/1017289-rear_window,1954,Mystery & thriller,English,1h 52m,Alfred Hitchcock,8.5,470770,"A newspaper photographer with a broken leg passes time recuperating by observing his neighbors through his window. He sees what he believes to be a murder, and decides to solve the crime himself. With the help of his nurse and wife, he tries to catch the murderer without being killed himself.",Hitchcock exerted full potential of suspense in this masterpiece.,Mystery & thriller,1951-1960
12,Arrival,https://www.rottentomatoes.com//m/arrival_2016,2016,"Drama, Mystery & thriller, Sci-fi",English,1h 56m,Denis Villeneuve,7.9,650986,"Linguistics professor Louise Banks (Amy Adams) leads an elite team of investigators when gigantic spaceships touch down in 12 locations around the world. As nations teeter on the verge of global war, Banks and her crew must race against time to find a way to communicate with the extraterrestrial visitors. Hoping to unravel the mystery, she takes a chance that could threaten her life and quite possibly all of mankind.",Arrival delivers a must-see experience for fans of thinking person's sci-fi that anchors its heady themes with genuinely affecting emotion and a terrific performance from Amy Adams.,Drama,2011-2020
13,The Maltese Falcon,https://www.rottentomatoes.com//m/1013139-maltese_falcon,1941,"Crime, Drama",English,1h 40m,John Huston,8,154660,"In this noir classic, detective Sam Spade (Humphrey Bogart) gets more than he bargained for when he takes a case brought to him by a beautiful but secretive woman (Mary Astor). As soon as Miss Wonderly shows up, trouble follows as Sam's partner is murdered and Sam is accosted by a man (Peter Lorre) demanding he locate a valuable statuette. Sam, entangled in a dangerous web of crime and intrigue, soon realizes he must find the one thing they all seem to want: the bejeweled Maltese falcon.","Suspenseful, labyrinthine, and brilliantly cast, The Maltese Falcon is one of the most influential noirs -- as well as a showcase for Humphrey Bogart at his finest.",Crime,Before 1950s
14,The Invisible Man,https://www.rottentomatoes.com//m/the_invisible_man_2020,2020,"Mystery & thriller, Horror",English,2h 4m,Leigh Whannell,7.7,33588,"After staging his own suicide, a crazed scientist uses his power to become invisible to stalk and terrorize his ex-girlfriend. When the police refuse to believe her story, she decides to take matters into her own hands and fight back.","Smart, well-acted, and above all scary, The Invisible Man proves that sometimes, the classic source material for a fresh reboot can be hiding in plain sight.",Mystery & thriller,2011-2020
15,Argo,https://www.rottentomatoes.com//m/argo_2012,2012,"History, Mystery & thriller, Drama",English,2h 0m,Ben Affleck,7.7,595456,"On Nov. 4, 1979, militants storm the U.S. embassy in Tehran, Iran, taking 66 American hostages. Amid the chaos, six Americans manage to slip away and find refuge with the Canadian ambassador. Knowing that it??s just a matter of time before the refugees are found and likely executed, the U.S. government calls on extractor Tony Mendez (Ben Affleck) to rescue them. Mendez??s plan is to pose as a Hollywood producer scouting locations in Iran and train the refugees to act as his ""lm"" crew.nn","Tense, exciting, and often darkly comic, Argo recreates a historical event with vivid attention to detail and finely wrought characters.",History,2011-2020
16,North by Northwest,https://www.rottentomatoes.com//m/north-by-northwest,1959,Mystery & thriller,English,2h 16m,Alfred Hitchcock,8.3,315413,"This classic suspense film finds New York City ad executive Roger O. Thornhill (Cary Grant) pursued by ruthless spy Phillip Vandamm (James Mason) after Thornhill is mistaken for a government agent. Hunted relentlessly by Vandamm's associates, the harried Thornhill ends up on a cross-country journey, meeting the beautiful and mysterious Eve Kendall (Eva Marie Saint) along the way. Soon Vandamm's henchmen close in on Thornhill, resulting in a number of iconic action sequences.","Gripping, suspenseful, and visually iconic, this late-period Hitchcock classic laid the groundwork for countless action thrillers to follow.",Mystery & thriller,1951-1960
17,Laura,https://www.rottentomatoes.com//m/1012007-laura,1944,Mystery & thriller,English,1h 28m,Otto Preminger,8,45554,"In one of the most celebrated 1940s film noirs, Manhattan detective Mark McPherson (Dana Andrews) investigates the murder of Madison Avenue executive Laura Hunt (Gene Tierney) in her fashionable apartment. On the trail of her murderer, McPherson quizzes Laura's arrogant best friend, gossip columnist Waldo Lydecker (Clifton Webb) and her comparatively mild fianc??, Shelby Carpenter (Vincent Price). As the detective grows obsessed with the case, he finds himself falling in love with the dead woman.","A psychologically complex portrait of obsession, Laura is also a deliciously well-crafted murder mystery.",Mystery & thriller,Before 1950s
18,Alien,https://www.rottentomatoes.com//m/alien,1979,"Horror, Sci-fi",English,1h 57m,Ridley Scott,8.4,834033,"In deep space, the crew of the commercial starship Nostromo is awakened from their cryo-sleep capsules halfway through their journey home to investigate a distress call from an alien vessel. The terror begins when the crew encounters a nest of eggs inside the alien ship. An organism from inside an egg leaps out and attaches itself to one of the crew, causing him to fall into a coma.","A modern classic, Alien blends science fiction, horror and bleak poetry into a seamless whole.",Horror,1971-1980
19,Psycho,https://www.rottentomatoes.com//m/psycho,1960,"Horror, Mystery & thriller",English,1h 49m,Alfred Hitchcock,8.5,638924,"Phoenix secretary Marion Crane (Janet Leigh), on the lam after stealing $40,000 from her employer in order to run away with her boyfriend, Sam Loomis (John Gavin), is overcome by exhaustion during a heavy rainstorm. Traveling on the back roads to avoid the police, she stops for the night at the ramshackle Bates Motel and meets the polite but highly strung proprietor Norman Bates (Anthony Perkins), a young man with an interest in taxidermy and a difficult relationship with his mother.","Infamous for its shower scene, but immortal for its contribution to the horror genre. Because Psycho was filmed with tact, grace, and art, Hitchcock didn't just create modern horror, he validated it.",Horror,1951-1960
20,L.A. Confidential,https://www.rottentomatoes.com//m/la_confidential,1997,"Crime, Drama",English,2h 16m,Curtis Hanson,8.2,558732,"Three policemen, each with his own motives and obsessions, tackle the corruption surrounding an unsolved murder at a downtown Los Angeles coffee shop in the early 1950s. Detective Lieutenant Exley (Guy Pearce), the son of a murdered detective, is out to avenge his father's killing. The ex-partner of Officer White (Russell Crowe), implicated in a scandal rooted out by Exley, was one of the victims. Sergeant Vincennes (Kevin Spacey) feeds classified information to a tabloid magnate (Danny DeVito).","Taut pacing, brilliantly dense writing and Oscar-worthy acting combine to produce a smart, popcorn-friendly thrill ride.",Crime,1991-2000
21,Shadow of a Doubt,https://www.rottentomatoes.com//m/1018688-shadow_of_a_doubt,1943,"Crime, Drama, Mystery & thriller",English,1h 48m,Alfred Hitchcock,7.8,63288,"Uncle Charlie (Joseph Cotten) visits his relatives in Santa Rosa. He is a very charming man, but his niece slowly realizes that he is wanted for murder and he soon recognizes her suspicions. Although one of the suspected murderers is killed and the case is considered closed, she still has her suspicions.",Alfred Hitchcock's earliest classic -- and his own personal favorite -- deals its flesh-crawling thrills as deftly as its finely shaded characters.,Crime,Before 1950s
22,"The Godfather, Part II",https://www.rottentomatoes.com//m/godfather_part_ii,1974,"Crime, Drama",English,3h 20m,Francis Ford Coppola,9,1198438,"The compelling sequel to ""The Godfather,"" contrasting the life of Corleone father and son. Traces the problems of Michael Corleone (Al Pacino) in 1958 and that of a young immigrant Vito Corleone (Robert De Niro) in 1917??s Hell??s Kitchen. Michael survives many misfortunes and Vito is introduced to a life of crime.","Drawing on strong performances by Al Pacino and Robert De Niro, Francis Ford Coppola's continuation of Mario Puzo's Mafia saga set new standards for sequels that have yet to be matched or broken.",Crime,1971-1980
23,M,https://www.rottentomatoes.com//m/1012928-m,1931,"Crime, Drama, Mystery & thriller",German,1h 39m,Fritz Lang,8.3,152251,"In this classic German thriller, Hans Beckert (Peter Lorre), a serial killer who preys on children, becomes the focus of a massive Berlin police manhunt. Beckert's heinous crimes are so repellant and disruptive to city life that he is even targeted by others in the seedy underworld network. With both cops and criminals in pursuit, the murderer soon realizes that people are on his trail, sending him into a tense, panicked attempt to escape justice.","A landmark psychological thriller with arresting images, deep thoughts on modern society, and Peter Lorre in his finest performance.",Crime,Before 1950s
24,Jaws,https://www.rottentomatoes.com//m/jaws,1975,"Horror, Mystery & thriller, Adventure",English,2h 4m,Steven Spielberg,8,570243,"When a young woman is killed by a shark while skinny-dipping near the New England tourist town of Amity Island, police chief Martin Brody (Roy Scheider) wants to close the beaches, but mayor Larry Vaughn (Murray Hamilton) overrules him, fearing that the loss of tourist revenue will cripple the town. Ichthyologist Matt Hooper (Richard Dreyfuss) and grizzled ship captain Quint (Robert Shaw) offer to help Brody capture the killer beast, and the trio engage in an epic battle of man vs. nature.","Compelling, well-crafted storytelling and a judicious sense of terror ensure Steven Spielberg's Jaws has remained a benchmark in the art of delivering modern blockbuster thrills.",Horror,1971-1980
25,The Babadook,https://www.rottentomatoes.com//m/the_babadook,2014,"Horror, Mystery & thriller",English (Australia),1h 33m,Jennifer Kent,6.8,211292,A troubled widow (Essie Davis) discovers that her son is telling the truth about a monster that entered their home through the pages of a children's book.,"The Babadook relies on real horror rather than cheap jump scares -- and boasts a heartfelt, genuinely moving story to boot.",Horror,2011-2020
26,Chinatown,https://www.rottentomatoes.com//m/chinatown,1974,"Crime, Drama",English,2h 11m,Roman Polanski,8.2,312849,"When Los Angeles private eye J.J. ""Jake"" Gittes (Jack Nicholson) is hired by Evelyn Mulwray to investigate her husband??s activities, he believes it??s a routine infidelity case. Jake??s investigation soon becomes anything but routine when he meets the real Mrs. Mulwray (Faye Dunaway) and realizes he was hired by an imposter. Mr. Mulwray??s sudden death sets Gittes on a tangled trail of corruption, deceit and sinister family secrets as Evelyn??s father (John Huston) becomes a suspect in the case.","As bruised and cynical as the decade that produced it, this noir classic benefits from Robert Towne's brilliant screenplay, director Roman Polanski's steady hand, and wonderful performances from Jack Nicholson and Faye Dunaway.",Crime,1971-1980
27,The Lady Vanishes,https://www.rottentomatoes.com//m/1011813-lady_vanishes,1938,Mystery & thriller,English (United Kingdom),1h 37m,Alfred Hitchcock,7.8,50744,"On a train headed for England a group of travelers is delayed by an avalanche. Holed up in a hotel in a fictional European country, young Iris (Margaret Lockwood) befriends elderly Miss Froy (Dame May Whitty). When the train resumes, Iris suffers a bout of unconsciousness and wakes to find the old woman has disappeared. The other passengers ominously deny Miss Froy ever existed, so Iris begins to investigate with another traveler (Michael Redgrave) and, as the pair sleuth, romantic sparks fly.","One of Alfred Hitchcock's last British films, this glamorous thriller provides an early glimpse of the director at his most stylishly entertaining.",Mystery & thriller,Before 1950s
28,Hell or High Water,https://www.rottentomatoes.com//m/hell_or_high_water,2016,"Action, Crime, Western, Mystery & thriller, Drama",English,1h 37m,David Mackenzie,7.6,217418,"Toby is a divorced father who's trying to make a better life for his son. His brother Tanner is an ex-convict with a short temper and a loose trigger finger. Together, they plan a series of heists against the bank that's about to foreclose on their family ranch. Standing in their way is Marcus, a Texas Ranger who's only weeks away from retirement. As the siblings plot their final robbery, they must also prepare for a showdown with a crafty lawman who's not ready to ride off into the sunset.","Hell or High Water offers a solidly crafted, well-acted Western heist thriller that eschews mindless gunplay in favor of confident pacing and full-bodied characters.",Action,2011-2020
29,Skyfall,https://www.rottentomatoes.com//m/skyfall,2012,"Mystery & thriller, Adventure, Action",English,2h 23m,Sam Mendes,7.8,672385,"When James Bond's (Daniel Craig) latest assignment goes terribly wrong, it leads to a calamitous turn of events: Undercover agents around the world are exposed, and MI6 is attacked, forcing M (Judi Dench) to relocate the agency. With MI6 now compromised inside and out, M turns to the one man she can trust: Bond. Aided only by a field agent (Naomie Harris), Bond takes to the shadows and follows a trail to Silva (Javier Bardem), a man from M's past who wants to settle an old score.","Sam Mendes brings Bond surging back with a smart, sexy, riveting action thriller that qualifies as one of the best 007 films to date.",Mystery & thriller,2011-2020
30,The 39 Steps,https://www.rottentomatoes.com//m/1000121-39_steps,1935,Mystery & thriller,English (United Kingdom),1h 20m,Alfred Hitchcock,7.6,55108,"While on vacation in London, Canadian Richard Hannay (Robert Donat) becomes embroiled in an international spy ring related to the mysterious ""39 steps."" Then he meets agent Annabella Smith (Lucie Mannheim), who is soon killed in his apartment. He must elude the police, who are hunting him for murder, while he tries to stop Professor Jordan (Godfrey Tearle) from sending secrets out of the country. Hannay is assisted by Pamela (Madeleine Carroll), an unwilling accomplice who discovers the truth.","Packed with twists and turns, this essential early Alfred Hitchcock feature hints at the dazzling heights he'd reach later in his career.",Mystery & thriller,Before 1950s
31,The Thin Man,https://www.rottentomatoes.com//m/thin_man,1934,"Comedy, Drama",English,1h 33m,W. S. Van Dyke II,8,28394,"The recently divorced Gilbert discovers that his new girlfriend has stolen $50,000 and is carrying on with other men. Not long afterward, he disappears. Anxious to locate her father, Gilbert's daughter goes to private detective Nick Charles for help.","Featuring an involving mystery and sparkling repartee between William Powell and Myrna Loy, The Thin Man is an endlessly charming romp.",Comedy,Before 1950s
32,Harry Potter and the Deathly Hallows - Part 2,https://www.rottentomatoes.com//m/harry_potter_and_the_deathly_hallows_part_2_2011,2011,"Adventure, Fantasy",English,2h 11m,David Yates,8.1,815206,"A clash between good and evil awaits as young Harry (Daniel Radcliffe), Ron (Rupert Grint) and Hermione (Emma Watson) prepare for a final battle against Lord Voldemort (Ralph Fiennes). Harry has grown into a steely lad on a mission to rid the world of evil. The friends must search for the Horcruxes that keep the dastardly wizard immortal. Harry and Voldemort meet at Hogwarts Castle for an epic showdown where the forces of darkness may finally meet their match.","Thrilling, powerfully acted, and visually dazzling, Deathly Hallows Part II brings the Harry Potter franchise to a satisfying -- and suitably magical -- conclusion.",Adventure,2011-2020
33,Touch of Evil,https://www.rottentomatoes.com//m/1021749-touch_of_evil,1958,"Crime, Drama, Mystery & thriller",English,1h 35m,Orson Welles,8,102237,"When a car bomb explodes on the American side of the U.S./Mexico border, Mexican drug enforcement agent Miguel Vargas (Charlton Heston) begins his investigation, along with American police captain Hank Quinlan (Orson Welles). When Vargas begins to suspect that Quinlan and his shady partner, Menzies (Joseph Calleia), are planting evidence to frame an innocent man, his investigations into their possible corruption quickly put himself and his new bride, Susie (Janet Leigh), in jeopardy.","Artistically innovative and emotionally gripping, Orson Welles' classic noir is a visual treat, as well as a dark, sinister thriller.",Crime,1951-1960
34,Rashomon,https://www.rottentomatoes.com//m/rashomon,1951,Drama,Japanese,1h 28m,Akira Kurosawa,8.2,161917,"Brimming with action while incisively examining the nature of truth, ""Rashomon"" is perhaps the finest film ever to investigate the philosophy of justice. Through an ingenious use of camera and flashbacks, Kurosawa reveals the complexities of human nature as four people recount different versions of the story of a man??s murder and the rape of his wife.","One of legendary director Akira Kurosawa's most acclaimed films, Rashomon features an innovative narrative structure, brilliant acting, and a thoughtful exploration of reality versus perception.",Drama,1951-1960
35,Vertigo,https://www.rottentomatoes.com//m/vertigo,1958,Mystery & thriller,English,2h 8m,Alfred Hitchcock,8.3,386554,"Hitchcock's romantic story of obsession, manipulation and fear. A detective is forced to retire after his fear of heights causes the death of a fellow officer and the girl he was hired to follow. He sees a double of the girl, causing him to transform her image onto the dead girl's body. This leads into a cycle of madness and lies.","An unpredictable scary thriller that doubles as a mournful meditation on love, loss, and human comfort.",Mystery & thriller,1951-1960
36,Taxi Driver,https://www.rottentomatoes.com//m/taxi_driver,1976,Drama,English,1h 53m,Martin Scorsese,8.2,771905,"Suffering from insomnia, disturbed loner Travis Bickle (Robert De Niro) takes a job as a New York City cabbie, haunting the streets nightly, growing increasingly detached from reality as he dreams of cleaning up the filthy city. When Travis meets pretty campaign worker Betsy (Cybill Shepherd), he becomes obsessed with the idea of saving the world, first plotting to assassinate a presidential candidate, then directing his attentions toward rescuing 12-year-old prostitute Iris (Jodie Foster).","A must-see film for movie lovers, this Martin Scorsese masterpiece is as hard-hitting as it is compelling, with Robert De Niro at his best.",Drama,1971-1980
37,Nightcrawler,https://www.rottentomatoes.com//m/nightcrawler,2014,"Crime, Drama, Mystery & thriller",English,1h 57m,Dan Gilroy,7.8,504643,"Los Angeles denizen Louis Bloom (Jake Gyllenhaal) survives by scavenging and petty theft. He stumbles into a new career as a cameraman and -- armed with a camcorder and police scanner -- begins nocturnal forays across the city in search of shocking and grisly crimes. When he catches the eye of a shopworn news director (Rene Russo) who welcomes the chance to raise her station??s ratings, Louis goes to increasingly greater lengths to catch the ""oney shot.""""","Restless, visually sleek, and powered by a lithe star performance from Jake Gyllenhaal, Nightcrawler offers dark, thought-provoking thrills.",Crime,2011-2020
38,The Wages of Fear,https://www.rottentomatoes.com//m/wages_of_fear,1953,Mystery & thriller,French (Canada),2h 36m,Henri-Georges Clouzot,8.1,58831,"In the South American jungle, supplies of nitroglycerine are needed at a remote oil field. The oil company pays four men to deliver the supplies in two trucks. A tense rivalry develops between the two sets of drivers on the rough remote roads where the slightest jolt can result in death.","An existential suspense classic, The Wages of Fear blends nonstop suspense with biting satire; its influence is still being felt on today's thrillers.",Mystery & thriller,1951-1960
39,Strangers on a Train,https://www.rottentomatoes.com//m/strangers_on_a_train,1951,Mystery & thriller,English,1h 41m,Alfred Hitchcock,8,130400,"In Alfred Hitchcock's adaptation of Patricia Highsmith's thriller, tennis star Guy Haines (Farley Granger) is enraged by his trampy wife's refusal to finalize their divorce so he can wed senator's daughter Anne (Ruth Roman). He strikes up a conversation with a stranger, Bruno Anthony (Robert Walker), and unwittingly sets in motion a deadly chain of events. Psychopathic Bruno kills Guy's wife, then urges Guy to reciprocate by killing Bruno's father. Meanwhile, Guy is murder suspect number one.",A provocative premise and inventive set design lights the way for Hitchcock diabolically entertaining masterpiece.,Mystery & thriller,1951-1960
40,The Post,https://www.rottentomatoes.com//m/the_post,2018,"History, Drama",English,1h 55m,Steven Spielberg,7.2,145178,"Katharine Graham is the first female publisher of a major American newspaper -- The Washington Post. With help from editor Ben Bradlee, Graham races to catch up with The New York Times to expose a massive cover-up of government secrets that spans three decades and four U.S. presidents. Together, they must overcome their differences as they risk their careers -- and very freedom -- to help bring long-buried truths to light.","The Post's period setting belies its bitingly timely themes, brought compellingly to life by director Steven Spielberg and an outstanding ensemble cast.",History,2011-2020
41,The Big Sleep,https://www.rottentomatoes.com//m/1002352-big_sleep,1946,"Crime, Drama, Mystery & thriller",English,1h 54m,Howard Hawks,7.9,83424,"Private investigator Philip Marlowe (Humphrey Bogart) is hired by General Sternwood to help resolve the gambling debts of his wild young daughter, Carmen (Martha Vickers). Sternwood's older daughter, Vivian (Lauren Bacall), provides assistance when she implies that the situation is more complex, and also involves casino owner (John Ridgely) and a recently disappeared family friend. As people linked to the Sternwoods start being murdered, Marlowe finds himself getting ever deeper into the case.","A perfect match of screenplay, director, and leading man, The Big Sleep stands as a towering achievement in film noir whose grim vitality remains undimmed.",Crime,Before 1950s
42,Goldfinger,https://www.rottentomatoes.com//m/goldfinger,1964,Action,English,1h 52m,Guy Hamilton,7.7,183618,"Special agent 007 (Sean Connery) comes face to face with one of the most notorious villains of all time, and now he must outwit and outgun the powerful tycoon to prevent him from cashing in on a devious scheme to raid Fort Knox -- and obliterate the world's economy.","Goldfinger is where James Bond as we know him comes into focus - it features one of 007??s most famous lines ("" martini. Shaken, not stirred."") and a wide range of gadgets that would become the series?? trademark..",Action,1961-1970
43,Anatomy of a Murder,https://www.rottentomatoes.com//m/anatomy-of-a-murder,1959,"Crime, Drama, Mystery & thriller",English,2h 40m,Otto Preminger,8,64114,"Semi-retired Michigan lawyer Paul Biegler (James Stewart) takes the case of Army Lt. Manion (Ben Gazzara), who murdered a local innkeeper after his wife (Lee Remick) claimed that he raped her. Over the course of an extensive trial, Biegler parries with District Attorney Lodwick (Brooks West) and out-of-town prosecutor Claude Dancer (George C. Scott) to set his client free, but his case rests on the victim's mysterious business partner (Kathryn Grant), who's hiding a dark secret.","One of cinema's greatest courtroom dramas, Anatomy of a Murder is tense, thought-provoking, and brilliantly acted, with great performances from James Stewart and George C. Scott.",Crime,1951-1960
44,Invasion of the Body Snatchers,https://www.rottentomatoes.com//m/1010678-invasion_of_the_body_snatchers,1956,"Horror, Sci-fi",English,1h 20m,Don Siegel,7.7,47916,"In Santa Mira, California, Dr. Miles Bennell (Kevin McCarthy) is baffled when all his patients come to him with the same complaint: their loved ones seem to have been replaced by emotionless impostors. Despite others' dismissive denials, Dr. Bennell, his former girlfriend Becky (Dana Wynter) and his friend Jack (King Donovan) soon discover that the patients' suspicions are true: an alien species of human duplicates, grown from plant-like pods, is taking over the small town.","One of the best political allegories of the 1950s, Invasion of the Body Snatchers is an efficient, chilling blend of sci-fi and horror.",Horror,1951-1960
